dt,t10,moisture,t0
1559736000,310.929,0.106,315.746
1559779200,308.918,0.112,301.605
1559822400,311.056,0.077,316.235
1559865600,307.898,0.085,300.192
1559908800,310.677,0.086,317.367
1559952000,308.218,0.095,301
1559995200,310.861,0.086,317.767
1560038400,308.223,0.095,300.85
1560081600,310.601,0.093,316.954
1560124800,308.536,0.1,299.789
1560168000,310.465,0.096,315.528
1560211200,308.373,0.102,300.813
1560254400,310.585,0.093,316.953
1560297600,308.484,0.1,299.843
1560340800,310.966,0.093,318.765
1560384000,307.495,0.193,298.841
1560427200,308.148,0.13,310.177
1560470400,306.748,0.131,302.215
1560513600,308.754,0.099,313.992
1560556800,307.922,0.103,302.44
1560600000,310.577,0.092,314.792
1560643200,308.429,0.1,301.091
1560686400,310.274,0.107,313.833
1560729600,308.544,0.112,301.993
1560772800,309.961,0.107,312.355
1560816000,307.579,0.111,300.635
1560859200,310.27,0.108,315.654
1560902400,308.122,0.113,301.116
1560945600,310.292,0.108,315.749
1560988800,308.063,0.112,301.366
1561032000,310.244,0.111,314.843
1561075200,308.25,0.115,301.299
1561118400,310.076,0.115,314.349
1561161600,308.345,0.12,302.054
1561204800,310.74,0.101,316.13
1561248000,308.872,0.108,302.409
1561291200,310.981,0.098,316
1561334400,309.026,0.107,301.697
1561377600,310.958,0.101,314.534
1561420800,307.56,0.175,301.485
1561464000,309.623,0.093,316.931
1561507200,308.194,0.099,301.74
1561550400,310.919,0.096,316.699
1561593600,308.603,0.113,301.422
1561636800,310.368,0.096,315.591
1561680000,308.198,0.103,302.481
1561723200,310.285,0.096,315.727
1561766400,308.512,0.103,302.126
1561809600,310.713,0.093,316.253
1561852800,308.767,0.103,302.228
1561896000,310.748,0.094,315.306
1561939200,308.596,0.103,303.007
1561982400,310.705,0.098,315.39
1562025600,308.565,0.105,302.067
1562068800,310.84,0.095,316.882
1562112000,308.71,0.101,301.02
1562155200,310.68,0.094,316.506
1562198400,308.115,0.1,300.911
1562241600,310.411,0.094,315.959
1562284800,308.158,0.1,301.322
1562328000,310.189,0.097,315.873
1562371200,308.12,0.105,301.927
1562414400,310.42,0.094,316.325
1562457600,308.154,0.1,301.664
1562500800,310.671,0.091,316.607
1562544000,308.4,0.097,302.344
1562587200,310.685,0.092,316.006
1562630400,308.193,0.096,302.108
1562673600,310.369,0.094,315.001
1562716800,307.883,0.097,302.376
1562760000,310.375,0.094,315.032
1562803200,308.107,0.097,303.314
1562846400,310.19,0.094,313.59
1562889600,307.596,0.1,302.241
1562932800,309.353,0.094,314.286
1562976000,307.353,0.1,301.358
1563019200,309.386,0.095,313.363
1563062400,307.113,0.1,301.933
1563105600,309.144,0.095,312.272
1563148800,307.118,0.101,302.765
1563192000,308.962,0.1,311.887
1563235200,306.854,0.103,302.162
1563278400,308.851,0.098,313.576
1563321600,306.676,0.103,300.891
1563364800,308.909,0.095,314.587
1563408000,306.664,0.1,300.181
1563451200,308.718,0.097,313.898
1563494400,306.658,0.103,299.921
1563537600,309.578,0.097,316.303
1563580800,307.735,0.105,300.494
1563624000,310.757,0.094,317.336
1563667200,308.324,0.108,302.099
1563710400,311.108,0.094,316.103
1563753600,309.338,0.103,303.241
1563796800,310.724,0.106,317.41
1563840000,308.55,0.112,302.806
1563883200,308.228,0.142,305.582
1563926400,306.818,0.139,302.66
1563969600,309.128,0.104,314.697
1564012800,307.449,0.113,302.722
1564056000,309.306,0.102,313.248
1564099200,307.345,0.11,302.982
1564142400,309.382,0.101,314.332
1564185600,307.63,0.107,302.664
1564228800,309.607,0.098,314.031
1564272000,307.621,0.104,302.232
1564315200,309.833,0.098,315.612
1564358400,306.165,0.281,297.423
1564401600,303.833,0.352,302.924
1564444800,301.859,0.349,298.385
1564488000,302.487,0.349,303.585
1564531200,301.7,0.305,298.947
1564574400,303.479,0.207,306.436
1564617600,302.46,0.184,300.413
1564660800,303.947,0.139,306.777
1564704000,303.186,0.145,300.697
1564747200,305.478,0.127,310.411
1564790400,304.41,0.135,300.482
1564833600,306.494,0.127,310.521
1564876800,304.943,0.138,300.678
1564920000,306.348,0.136,308.43
1564963200,304.838,0.144,300.899
1565006400,306.509,0.129,309.75
1565049600,304.978,0.14,300.576
1565092800,306.48,0.129,309.942
1565136000,304.763,0.14,300.554
1565179200,305.973,0.139,309.041
1565222400,304.475,0.147,300.423
1565265600,305.663,0.142,309.599
1565308800,303.634,0.244,299.502
1565352000,305.227,0.155,311.222
1565395200,303.724,0.327,298.56
1565438400,303.904,0.332,301.879
1565481600,301.981,0.362,299.463
1565524800,301.794,0.336,301.382
1565568000,300.614,0.297,297.685
1565611200,301.072,0.275,300.017
1565654400,299.843,0.252,296.64
1565697600,301.311,0.19,304.576
1565740800,300.573,0.189,297.826
1565784000,302.236,0.154,305.937
1565827200,301.991,0.167,299.679
1565870400,303.17,0.158,305.1
1565913600,302.459,0.167,299.891
1565956800,303.393,0.155,304.6
1566000000,302.683,0.166,300.883
1566043200,303.833,0.155,305.248
1566086400,302.682,0.166,299.39
1566129600,303.85,0.149,306.69
1566172800,302.984,0.159,299.717
1566216000,304.47,0.151,306.925
1566259200,302.969,0.159,298.429
1566302400,304.434,0.151,306.768
1566345600,302.952,0.159,298.533
1566388800,304.125,0.149,306.563
1566432000,302.899,0.156,298.805
1566475200,304.158,0.146,306.856
1566518400,302.698,0.153,298.316
1566561600,304.449,0.145,307.461
1566604800,302.917,0.151,298.092
1566648000,304.401,0.142,307.401
1566691200,302.917,0.15,297.842
1566734400,304.385,0.149,307.347
1566777600,302.943,0.156,298.593
1566820800,304.404,0.144,308.044
1566864000,303.161,0.151,298.907
1566907200,304.61,0.159,308.153
1566950400,302.584,0.306,298.465
1566993600,303.835,0.211,304.607
1567036800,302.114,0.221,298.203
1567080000,301.498,0.349,301.378
1567123200,300.429,0.328,298.19
1567166400,302.743,0.196,306.485
1567209600,302.144,0.197,299.909
1567252800,303.948,0.155,307.632
1567296000,303.127,0.165,300.573
1567339200,304.141,0.159,307.381
1567382400,302.31,0.379,297.989
1567425600,302.95,0.252,304.349
1567468800,301.396,0.247,298.055
1567555200,303.308,0.172,301.383
1567598400,305.025,0.156,306.737
1567641600,303.761,0.165,300.926
1567684800,305.838,0.145,309.233
1567728000,304.504,0.164,300.79
1567771200,306.38,0.142,310.526
1567814400,305.551,0.148,301.896
1567857600,307.085,0.153,308.763
1567900800,305.556,0.163,301.375
1567944000,306.034,0.181,303.984
1567987200,304.188,0.184,299.926
1568030400,306.184,0.189,307.996
1568073600,304.823,0.187,300.464
1568116800,305.825,0.159,307.848
1568160000,304.63,0.166,300.596
1568203200,305.389,0.156,307.143
1568246400,304.163,0.164,300.944
1568289600,305.116,0.153,306.43
1568332800,303.885,0.164,300.421
1568376000,304.654,0.153,306.07
1568419200,303.425,0.161,300.626
1568462400,304.677,0.151,306.574
1568505600,303.417,0.16,299.512
1568548800,304.877,0.151,307.33
1568592000,303.415,0.16,299.305
1568635200,304.591,0.154,306.253
1568678400,303.173,0.164,298.525
1568721600,304.359,0.154,306.239
1568764800,302.652,0.164,297.56
1568808000,303.842,0.154,306.387
1568851200,302.324,0.164,296.732
1568894400,303.837,0.142,308.236
1568937600,301.807,0.153,296.603
1568980800,303.932,0.147,309.034
1569024000,303.062,0.157,299.483
1569067200,305.641,0.141,309.127
1569110400,303.853,0.149,298.606
1569153600,305.995,0.144,308.976
1569196800,304.54,0.163,299.412
1569240000,306.576,0.125,310.499
1569283200,304.927,0.129,299.788
1569326400,307.021,0.125,308.853
1569369600,303.748,0.197,297.834
